round,num_labelled,val_accuracy,val_reg_MAE
0,63,0.3111111111111111,1.6727700312932332
1,113,0.3111111111111111,1.0987583063266895
2,163,0.3111111111111111,1.0682469412132545
3,213,0.3111111111111111,0.9770935482449001
4,263,0.7111111111111111,0.368733173167264
5,313,0.7851851851851852,0.5058534679589448
6,363,0.8888888888888888,0.30137650458901016
